Temperature,S_A,S_n,S_Ea,Abs_S_A,Abs_S_n,Abs_S_Ea,Dominant_Parameter,uncertainty_from_A,uncertainty_from_n,uncertainty_from_Ea,total_uncertainty
1377.5510204081634,1.0,1.5309690922445902,-1.1978756683170866,1.0,1.5309690922445902,1.1978756683170866,n,15.0,9.335177391735307,8.730872218054566,19.707198345355003
1422.4489795918369,1.0,1.5630418121325842,-1.160066106332903,1.0,1.5630418121325842,1.160066106332903,n,15.0,9.530742756906003,8.455292320210663,19.680625643473068
1467.3469387755104,1.0,1.594117759093107,-1.1245703423004636,1.0,1.594117759093107,1.1245703423004636,n,15.0,9.720230238372604,8.19657683892466,19.66384366708018
1512.2448979591836,1.0,1.624257026668147,-1.0911822889528118,1.0,1.624257026668147,1.0911822889528118,n,15.0,9.90400626017163,7.953223680414078,19.65561260587464
1557.142857142857,1.0,1.6535144326565172,-1.0597196279345131,1.0,1.6535144326565172,1.0597196279345131,n,15.0,10.082405077173886,7.723903993691786,19.654861613453033
1602.0408163265306,1.0,1.6819401191544687,-1.0300204791261574,1.0,1.6819401191544687,1.0300204791261574,n,15.0,10.255732433868712,7.507437894505518,19.660663048202725
1646.938775510204,1.0,1.7095800696420091,-1.0019406147633625,1.0,1.7095800696420091,1.0019406147633625,n,15.0,10.424268717329326,7.302774160082816,19.672211078683148
1691.8367346938776,1.0,1.7364765565073552,-0.9753511171459994,1.0,1.7364765565073552,0.9753511171459994,n,15.0,10.588271686020459,7.108973157040811,19.688803839860597
1736.734693877551,1.0,1.7626685299454343,-0.9501363996639641,1.0,1.7626685299454343,0.9501363996639641,n,15.0,10.747978841130697,6.925192417375831,19.709828492076557
1781.6326530612246,1.0,1.7881919572116625,-0.9261925270492938,1.0,1.7881919572116625,0.9261925270492938,n,15.0,10.903609495193065,6.750674395403015,19.734748663624124
1826.530612244898,1.0,1.8130801196469157,-0.9034257833676351,1.0,1.8130801196469157,0.9034257833676351,n,15.0,11.055366583212901,6.584736030376348,19.763093858982632
1871.4285714285716,1.0,1.8373638736285252,-0.8817514461439842,1.0,1.8373638736285252,0.8817514461439842,n,15.0,11.203438253832472,6.426759811545073,19.79445049458882
1916.326530612245,1.0,1.8610718805803235,-0.861092732815797,1.0,1.8610718805803235,0.861092732815797,n,15.0,11.347999271831242,6.276186099240502,19.828454287356394
1961.2244897959185,1.0,1.8842308103423528,-0.8413798918980577,1.0,1.8842308103423528,0.8413798918980577,n,15.0,11.489212258185079,6.1325065007147055,19.864783771663323
2006.1224489795918,1.0,1.9068655215192267,-0.8225494161892508,1.0,1.9068655215192267,0.8225494161892508,n,15.0,11.627228789751383,5.9952581354901655,19.903154761001694
2051.0204081632655,1.0,1.9289992218652365,-0.8045433593174461,1.0,1.9289992218652365,0.8045433593174461,n,15.0,11.762190377227052,5.864018653917245,19.943315603069166
2095.918367346939,1.0,1.9506536113006185,-0.7873087401305097,1.0,1.9506536113006185,0.7873087401305097,n,15.0,11.894229337198894,5.738401895994968,19.98504310342716
2140.816326530612,1.0,1.9718490097683574,-0.7707970220343504,1.0,1.9718490097683574,0.7707970220343504,n,15.0,12.023469571758278,5.61805409646028,20.028139014240722
2185.714285714286,1.0,1.9926044718198093,-0.7549636565023655,1.0,1.9926044718198093,0.7549636565023655,n,15.0,12.150027267193959,5.502650557597415,20.07242700204895
2230.6122448979595,1.0,2.012937889548599,-0.7397676817145776,1.0,2.012937889548599,0.7397676817145776,n,15.0,12.274011521637801,5.391892723867183,20.11775002277813
2275.5102040816328,1.0,2.0328660852662797,-0.7251713687121376,1.0,2.0328660852662797,0.7251713687121376,n,15.0,12.395524910160242,5.285505602858145,20.16396804392052
2320.408163265306,1.0,2.052404895122596,-0.7111399086315158,1.0,2.052404895122596,0.7111399086315158,n,15.0,12.514663994649977,5.183235485652447,20.21095606345022
2365.3061224489797,1.0,2.071569244711812,-0.6976411355599943,1.0,2.071569244711812,0.6976411355599943,n,15.0,12.631519784828122,5.084847926822115,20.258602383022662
2410.204081632653,1.0,2.0903732175694225,-0.6846452803675136,1.0,2.0903732175694225,0.6846452803675136,n,15.0,12.746178155911114,4.990125950200536,20.306807099617863
2455.1020408163267,1.0,2.108830117346739,-0.6721247515494876,1.0,2.108830117346739,0.6721247515494876,n,15.0,12.858720227724021,4.8988684515268766,20.355480785288375
2500.0,1.0,2.1269525243508878,-0.6600539396849253,1.0,2.1269525243508878,0.6600539396849253,n,15.0,12.969222709456634,4.810888773213741,20.404543329261738
